Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-08,17:10:00,6.735,6.74,6.73,6.73,700,0
2015-12-08,17:15:00,6.72,6.73,6.715,6.73,3411,0
2015-12-08,17:20:00,6.7201,6.735,6.7201,6.735,1100,0
2015-12-08,17:25:00,6.73,6.73,6.72,6.73,800,0
2015-12-08,17:30:00,6.73,6.73,6.68,6.7,2500,0
2015-12-08,17:35:00,6.69,6.7,6.67,6.69,3383,0
2015-12-08,17:40:00,6.695,6.695,6.675,6.675,1200,0
2015-12-08,17:45:00,6.67,6.68,6.66,6.68,3500,0
2015-12-08,17:50:00,6.6999,6.6999,6.6999,6.6999,500,0
2015-12-08,17:55:00,6.685,6.69,6.67,6.69,800,0
2015-12-08,18:00:00,6.69,6.69,6.685,6.685,1600,0
2015-12-08,18:05:00,6.685,6.685,6.65,6.655,1900,0
2015-12-08,18:10:00,6.65,6.665,6.62,6.665,1960,0
2015-12-08,18:15:00,6.675,6.675,6.675,6.675,100,0
2015-12-08,18:20:00,6.67,6.67,6.66,6.66,200,0
2015-12-08,18:25:00,6.64,6.65,6.64,6.65,1140,0
2015-12-08,18:30:00,6.655,6.655,6.655,6.655,100,0
2015-12-08,18:35:00,6.655,6.655,6.655,6.655,100,0
2015-12-08,18:40:00,6.655,6.655,6.64,6.65,1100,0
2015-12-08,18:45:00,6.65,6.65,6.64,6.64,500,0
2015-12-08,18:50:00,6.65,6.65,6.63,6.63,1000,0
2015-12-08,18:55:00,6.64,6.66,6.63,6.66,2200,0
2015-12-08,19:00:00,6.66,6.66,6.655,6.655,400,0
2015-12-08,19:05:00,6.65,6.66,6.65,6.66,1000,0
2015-12-08,19:10:00,6.655,6.655,6.63,6.65,1400,0
2015-12-08,19:15:00,6.65,6.67,6.65,6.67,500,0
2015-12-08,19:20:00,6.66,6.6698,6.64,6.64,1353,0
2015-12-08,19:25:00,6.64,6.64,6.62,6.62,700,0
2015-12-08,19:30:00,6.61,6.62,6.61,6.62,4630,0
2015-12-08,19:35:00,6.635,6.635,6.635,6.635,100,0
2015-12-08,19:40:00,6.63,6.64,6.63,6.63,1700,0
2015-12-08,19:45:00,6.62,6.63,6.62,6.62,500,0
2015-12-08,19:50:00,6.63,6.64,6.62,6.62,1503,0
2015-12-08,19:55:00,6.625,6.625,6.615,6.615,1400,0
2015-12-08,20:00:00,6.615,6.625,6.605,6.6099,3000,0
2015-12-08,20:05:00,6.605,6.63,6.6,6.625,2818,0
2015-12-08,20:10:00,6.625,6.64,6.625,6.64,1100,0
2015-12-08,20:15:00,6.67,6.67,6.64,6.6699,1400,0
2015-12-08,20:20:00,6.65,6.67,6.63,6.63,1400,0
2015-12-08,20:25:00,6.63,6.63,6.63,6.63,790,0
2015-12-08,20:30:00,6.63,6.63,6.62,6.62,200,0
2015-12-08,20:35:00,6.62,6.62,6.62,6.62,100,0
2015-12-08,20:40:00,6.63,6.63,6.61,6.625,2200,0
2015-12-08,20:45:00,6.64,6.64,6.64,6.64,800,0
2015-12-08,20:50:00,6.64,6.64,6.62,6.63,2000,0
2015-12-08,20:55:00,6.62,6.625,6.615,6.625,5055,0
2015-12-08,21:00:00,6.62,6.62,6.62,6.62,100,0
2015-12-08,21:05:00,6.61,6.62,6.61,6.62,300,0
2015-12-08,21:10:00,6.61,6.62,6.59,6.62,4400,0
2015-12-08,21:15:00,6.6,6.63,6.59,6.6,6287,0
2015-12-08,21:20:00,6.6,6.6,6.55,6.5835,11419,0
2015-12-08,21:25:00,6.59,6.63,6.59,6.6,1785,0
2015-12-08,21:30:00,6.63,6.63,6.58,6.58,3014,0
2015-12-08,21:35:00,6.58,6.61,6.58,6.58,4100,0
2015-12-08,21:40:00,6.58,6.6,6.58,6.59,1200,0
2015-12-08,21:45:00,6.59,6.595,6.55,6.57,8836,0
2015-12-08,21:50:00,6.59,6.6,6.56,6.59,7400,0
2015-12-08,21:55:00,6.59,6.61,6.58,6.59,4776,0
2015-12-08,22:00:00,6.59,6.61,6.57,6.57,24280,0
2015-12-09,15:35:00,6.55,6.55,6.5001,6.5001,1100,0
2015-12-09,15:40:00,6.54,6.54,6.54,6.54,100,0
2015-12-09,15:50:00,6.54,6.58,6.54,6.58,600,0
2015-12-09,15:55:00,6.59,6.59,6.57,6.57,1300,0
2015-12-09,16:00:00,6.57,6.57,6.57,6.57,1200,0
2015-12-09,16:05:00,6.57,6.57,6.56,6.56,400,0
2015-12-09,16:10:00,6.57,6.57,6.56,6.56,1100,0
2015-12-09,16:15:00,6.57,6.57,6.56,6.57,700,0
2015-12-09,16:20:00,6.59,6.59,6.57,6.57,641,0
2015-12-09,16:25:00,6.55,6.5501,6.51,6.51,5000,0
2015-12-09,16:30:00,6.54,6.59,6.54,6.57,1400,0
2015-12-09,16:35:00,6.57,6.63,6.57,6.59,3100,0
2015-12-09,16:40:00,6.59,6.59,6.5779,6.5779,2400,0
2015-12-09,16:50:00,6.59,6.6,6.585,6.585,3300,0
2015-12-09,16:55:00,6.6,6.6,6.6,6.6,100,0
2015-12-09,17:00:00,6.5703,6.6,6.57,6.6,2415,0
2015-12-09,17:05:00,6.57,6.58,6.555,6.56,4104,0
2015-12-09,17:10:00,6.56,6.56,6.56,6.56,500,0
2015-12-09,17:15:00,6.55,6.55,6.53,6.55,1000,0
2015-12-09,17:20:00,6.54,6.55,6.5,6.53,6500,0
2015-12-09,17:25:00,6.51,6.53,6.51,6.515,2500,0
2015-12-09,17:30:00,6.515,6.515,6.5,6.5,1500,0
2015-12-09,17:35:00,6.5,6.5,6.49,6.495,4099,0
2015-12-09,17:40:00,6.5,6.51,6.491,6.51,1700,0
2015-12-09,17:45:00,6.5,6.5,6.5,6.5,100,0
2015-12-09,17:50:00,6.51,6.51,6.49,6.51,300,0
2015-12-09,17:55:00,6.51,6.51,6.49,6.51,500,0
2015-12-09,18:00:00,6.51,6.51,6.5,6.509,4300,0
2015-12-09,18:05:00,6.5,6.55,6.5,6.54,4700,0
2015-12-09,18:10:00,6.54,6.54,6.53,6.53,800,0
2015-12-09,18:15:00,6.53,6.53,6.53,6.53,600,0
2015-12-09,18:20:00,6.5201,6.5201,6.505,6.505,1000,0
2015-12-09,18:25:00,6.505,6.505,6.49,6.49,500,0
2015-12-09,18:30:00,6.48,6.485,6.48,6.485,900,0
2015-12-09,18:35:00,6.485,6.485,6.485,6.485,300,0
2015-12-09,18:40:00,6.485,6.485,6.46,6.46,1420,0
2015-12-09,18:45:00,6.45,6.47,6.45,6.47,200,0
2015-12-09,18:50:00,6.455,6.47,6.455,6.46,400,0
2015-12-09,18:55:00,6.47,6.47,6.46,6.4675,1100,0
2015-12-09,19:00:00,6.48,6.48,6.47,6.47,800,0
2015-12-09,19:05:00,6.47,6.47,6.445,6.445,2800,0
2015-12-09,19:10:00,6.44,6.44,6.43,6.44,800,0
2015-12-09,19:15:00,6.43,6.45,6.43,6.45,300,0
2015-12-09,19:20:00,6.45,6.45,6.43,6.43,608,0
2015-12-09,19:25:00,6.43,6.43,6.42,6.42,400,0
2015-12-09,19:30:00,6.41,6.43,6.41,6.42,300,0
2015-12-09,19:35:00,6.42,6.42,6.41,6.41,1100,0
2015-12-09,19:40:00,6.42,6.43,6.42,6.43,900,0
2015-12-09,19:45:00,6.43,6.47,6.43,6.47,800,0
2015-12-09,19:55:00,6.47,6.47,6.47,6.47,300,0
2015-12-09,20:00:00,6.47,6.48,6.47,6.48,300,0
2015-12-09,20:05:00,6.48,6.48,6.48,6.48,100,0
2015-12-09,20:10:00,6.46,6.47,6.45,6.45,1200,0
2015-12-09,20:20:00,6.46,6.46,6.46,6.46,1000,0
2015-12-09,20:25:00,6.45,6.45,6.44,6.44,1500,0
2015-12-09,20:30:00,6.45,6.45,6.44,6.44,300,0
2015-12-09,20:35:00,6.45,6.45,6.45,6.45,300,0
2015-12-09,20:40:00,6.46,6.46,6.46,6.46,400,0
2015-12-09,20:45:00,6.47,6.47,6.47,6.47,400,0
2015-12-09,20:50:00,6.47,6.47,6.46,6.46,600,0
2015-12-09,21:00:00,6.46,6.47,6.46,6.47,300,0
2015-12-09,21:05:00,6.47,6.485,6.47,6.48,2250,0
2015-12-09,21:10:00,6.49,6.49,6.49,6.49,100,0
2015-12-09,21:15:00,6.49,6.49,6.4865,6.4865,300,0
2015-12-09,21:20:00,6.49,6.49,6.47,6.47,1300,0
2015-12-09,21:25:00,6.47,6.47,6.47,6.47,400,0
2015-12-09,21:30:00,6.49,6.4965,6.49,6.4965,500,0
2015-12-09,21:35:00,6.5,6.51,6.495,6.5,27000,0
2015-12-09,21:40:00,6.51,6.53,6.51,6.51,2500,0
2015-12-09,21:45:00,6.51,6.51,6.49,6.49,3300,0
2015-12-09,21:50:00,6.49,6.49,6.46,6.46,2100,0
2015-12-09,21:55:00,6.48,6.48,6.48,6.48,1100,0
2015-12-09,22:00:00,6.48,6.49,6.47,6.48,16101,0
2015-12-10,15:35:00,6.46,6.51,6.46,6.51,1463,0
2015-12-10,15:40:00,6.47,6.48,6.47,6.48,400,0
2015-12-10,15:50:00,6.52,6.52,6.51,6.51,400,0
2015-12-10,15:55:00,6.51,6.53,6.51,6.51,1900,0
